Beam Profile,Number of pieces,Length in mm,,,,,
S-150X4,6,11962.55,,,,,
S-150X4,14,11953,,,,,
S-150X4,14,11817.01,,,,,
S-150X4,3,11774.01,,,,,
S-150X4,6,11764.12,,,,,
S-150X4,3,11752.51,,,,,
S-150X4,3,11583.02,,,,,
S-150X4,3,11575.69,,,,,
S-150X4,3,11575.68,,,,,
S-150X4,14,11465.8,,,,,
S-150X4,1,11376.7,,,,,
S-150X4,13,11376.68,,,,,
S-150X4,3,10971.88,,,,,
S-150X4,3,10971.01,,,,,
S-150X4,14,10293.51,,,,,
S-150X4,14,10293.5,,,,,
S-150X4,1,10240.24,,,,,
S-150X4,13,10240.23,,,,,
S-150X4,13,10240.21,,,,,
S-150X4,1,10240.19,,,,,
S-150X4,14,9570.37,,,,,
S-150X4,14,9570.36,,,,,
S-150X4,1,8107.67,,,,,
S-150X4,1,8030.59,,,,,
S-150X4,1,7963.37,,,,,
S-150X4,1,7951.2,,,,,
S-150X4,1,7951.19,,,,,
S-150X4,1,7936.65,,,,,
S-150X4,1,7903.96,,,,,
S-150X4,1,7879.15,,,,,
S-150X4,1,7847.93,,,,,
S-150X4,1,7818.6,,,,,
S-150X4,1,7818.56,,,,,
S-150X4,2,7803.05,,,,,
S-150X4,1,7798.14,,,,,
S-150X4,1,7798.13,,,,,
S-150X4,1,7785.78,,,,,
S-150X4,1,7752.81,,,,,
S-150X4,1,7742.27,,,,,
S-150X4,1,7737.12,,,,,
S-150X4,1,7736.9,,,,,
S-150X4,1,7735.71,,,,,
S-150X4,1,7721.31,,,,,
S-150X4,1,7701.88,,,,,
S-150X4,1,7695.88,,,,,
S-150X4,1,7693.68,,,,,
S-150X4,1,7679.82,,,,,
S-150X4,1,7669.64,,,,,
S-150X4,2,7663.46,,,,,
S-150X4,1,7656.21,,,,,
S-150X4,1,7650.35,,,,,
S-150X4,1,7650.34,,,,,
S-150X4,1,7588.65,,,,,
S-150X4,1,7583.42,,,,,
S-150X4,1,7583.2,,,,,
S-150X4,1,7581.87,,,,,
S-150X4,1,7569.42,,,,,
S-150X4,1,7567.48,,,,,
S-150X4,1,7566.98,,,,,
S-150X4,1,7547.99,,,,,
S-150X4,1,7539.14,,,,,
S-150X4,1,7537.37,,,,,
S-150X4,1,7537.36,,,,,
S-150X4,1,7531.45,,,,,
S-150X4,1,7501.51,,,,,
S-150X4,1,7431.46,,,,,
S-150X4,1,7399.59,,,,,
S-150X4,1,7399.58,,,,,
S-150X4,1,7290.28,,,,,
S-150X4,1,7266.68,,,,,
S-150X4,11,6201.98,,,,,
S-150X4,16,6201.97,,,,,
S-150X4,1,6201.95,,,,,
S-150X4,3,4154.19,,,,,
S-150X4,2,3736.49,,,,,
S-150X4,1,3729.72,,,,,
S-150X4,1,3723.01,,,,,
S-150X4,1,3709.88,,,,,
S-150X4,1,3709.47,,,,,
S-150X4,1,3696.01,,,,,
S-150X4,1,3684.37,,,,,
S-150X4,1,3684.17,,,,,
S-150X4,3,3609.63,,,,,
S-150X4,3,2822.27,,,,,
S-150X4,14,2737.2,,,,,
S-150X4,14,2737.19,,,,,
S-150X4,1,2460.32,,,,,
S-150X4,13,2460.3,,,,,
S-150X4,11,2460.29,,,,,
S-150X4,3,2460.28,,,,,
S-150X4,3,2212.06,,,,,
S-150X4,3,2093.01,,,,,
S-150X4,3,2054.02,,,,,
S-150X4,2,2054,,,,,
S-150X4,3,2053.9,,,,,
S-150X4,48,2053.77,,,,,
S-150X4,2,2053.73,,,,,
S-150X4,3,1929.82,,,,,
S-150X4,6,231.12,,,,,
